cluster_id,lat,lon,count,dwell_minutes,center_method,type,polygon,distance_to_coast,inside_china_land
1885,39.819445621212125,124.15115828787877,2,3014.55,duration_weighted_stop_medoid,berth,"POLYGON((124.15115828787877 39.819445621212125, 124.15121925000001 39.819445621212125, 124.15121925000001 39.819492724999996, 124.15115828787877 39.819492724999996, 124.15115828787877 39.819445621212125))",3637.070107686865,False
1886,32.138255117647056,119.90333894117646,3,805.1833333333334,duration_weighted_stop_medoid,berth,"POLYGON((119.90333323076923 32.138255117647056, 119.90369266666666 32.138255117647056, 119.90369266666666 32.13865869230769, 119.90333323076923 32.13865869230769, 119.90333323076923 32.138255117647056))",575.3847087342551,False
1887,27.97822727631579,120.9154385263158,2,3671.5333333333338,duration_weighted_stop_medoid,berth,"POLYGON((120.91543546511629 27.97822727631579, 120.9154385263158 27.97822727631579, 120.9154385263158 27.97837118604651, 120.91543546511629 27.97837118604651, 120.91543546511629 27.97822727631579))",698.2629376508884,False
1888,39.001444416666665,117.77518683333334,2,954.8166666666667,duration_weighted_stop_medoid,berth,"POLYGON((117.77518683333334 39.001279714285715, 117.77530478571428 39.001279714285715, 117.77530478571428 39.001444416666665, 117.77518683333334 39.001444416666665, 117.77518683333334 39.001279714285715))",250.16103341236385,False
1889,30.0843671875,121.94974193750001,9,16786.38333333333,duration_weighted_stop_medoid,berth,"POLYGON((121.94909003448277 30.08340957142857, 121.95018617142856 30.08340957142857, 121.95018617142856 30.0843671875, 121.94909003448277 30.0843671875, 121.94909003448277 30.08340957142857))",3078.380990901856,False
1890,39.01299317647059,117.77191852941176,5,2151.15,duration_weighted_stop_medoid,berth,"POLYGON((117.77165283333333 39.01285975, 117.77198342857142 39.01285975, 117.77198342857142 39.013762166666666, 117.77165283333333 39.013762166666666, 117.77165283333333 39.01285975))",256.18499463665864,False
1891,34.74835679545455,119.43993331818182,3,2394.0333333333333,duration_weighted_stop_medoid,berth,"POLYGON((119.43904657894736 34.74826394736842, 119.43993331818182 34.74826394736842, 119.43993331818182 34.74841255, 119.43904657894736 34.74841255, 119.43904657894736 34.74826394736842))",215.06935397825276,False
1892,39.0172761875,117.7706896875,4,2179.8,duration_weighted_stop_medoid,berth,"POLYGON((117.77061604999999 39.017057894736844, 117.77074831578948 39.017057894736844, 117.77074831578948 39.01754655, 117.77061604999999 39.01754655, 117.77061604999999 39.017057894736844))",256.6146175094656,False
1893,36.01238329411765,120.23145099999999,4,2003.1999999999998,duration_weighted_stop_medoid,berth,"POLYGON((120.23143983333333 36.01233988888889, 120.23155341666666 36.01233988888889, 120.23155341666666 36.012458214285715, 120.23143983333333 36.012458214285715, 120.23143983333333 36.01233988888889))",1724.8438623282261,False
1894,38.99700835714286,121.89133207142856,3,1867.7333333333333,duration_weighted_stop_medoid,berth,"POLYGON((121.89120794736841 38.99678066666666, 121.89153603333332 38.99678066666666, 121.89153603333332 38.99700835714286, 121.89120794736841 38.99700835714286, 121.89120794736841 38.99678066666666))",1003.1424078062291,False
1895,34.74829003333333,119.4365555,7,3307.7,duration_weighted_stop_medoid,berth,"POLYGON((119.4346128235294 34.74824690909091, 119.4376178 34.74824690909091, 119.4376178 34.748464764705886, 119.4346128235294 34.748464764705886, 119.4346128235294 34.74824690909091))",85.57933711450767,False
1896,36.0204068,120.21383666666667,3,1036.9833333333333,duration_weighted_stop_medoid,berth,"POLYGON((120.21364057142857 36.020202285714284, 120.21398578571429 36.020202285714284, 120.21398578571429 36.02057378571429, 120.21364057142857 36.02057378571429, 120.21364057142857 36.020202285714284))",3340.3979976083356,False
1897,36.009204454545454,120.22642100000002,3,1478.2166666666667,duration_weighted_stop_medoid,berth,"POLYGON((120.22624553333334 36.009124400000005, 120.22740000000002 36.009124400000005, 120.22740000000002 36.009756800000005, 120.22624553333334 36.009756800000005, 120.22624553333334 36.009124400000005))",1339.9973437665296,False
1898,36.012739473684206,120.21099910526317,2,991.8833333333333,duration_weighted_stop_medoid,berth,"POLYGON((120.2100715882353 36.01195488235294, 120.21099910526317 36.01195488235294, 120.21099910526317 36.012739473684206, 120.2100715882353 36.012739473684206, 120.2100715882353 36.01195488235294))",2574.1799835020306,False
1899,34.74836072,119.4426414,2,1327.4833333333333,duration_weighted_stop_medoid,berth,"POLYGON((119.4426414 34.74834245454545, 119.44298413636365 34.74834245454545, 119.44298413636365 34.74836072, 119.4426414 34.74836072, 119.4426414 34.74834245454545))",312.5218561617704,False
1900,39.01654520879121,121.85995075824177,3,4665.616666666667,duration_weighted_stop_medoid,berth,"POLYGON((121.85985199999999 39.01654520879121, 121.86005478125 39.01654520879121, 121.86005478125 39.016643124999995, 121.85985199999999 39.016643124999995, 121.85985199999999 39.01654520879121))",1364.5736639611496,False
1901,36.016231047619044,120.23768814285714,5,2985.5333333333338,duration_weighted_stop_medoid,berth,"POLYGON((120.23708766666665 36.01592375, 120.23802080555555 36.01592375, 120.23802080555555 36.01643611111111, 120.23708766666665 36.01643611111111, 120.23708766666665 36.01592375))",2404.553026552125,False
