prediction_index,reference_index,overlap_area_m2,relation
509,45,339300.9758468518,预测包含真实
509,37,247433.24697283644,预测包含真实
510,584,892654.3399425541,部分重叠
513,414,694025.4458506078,部分重叠
514,554,480763.4695407116,部分重叠
515,554,1220205.918477736,部分重叠
516,1,213229.19406605404,预测包含真实
516,14,230466.71013101458,预测包含真实
517,777,926754.3571454312,部分重叠
518,640,1400187.2591166806,部分重叠
519,574,405450.5378269863,部分重叠
521,417,106110.84825517297,部分重叠
522,467,954969.4332412216,部分重叠
523,652,989323.3215662857,真实包含预测
525,268,548411.6523886316,预测包含真实
527,19,99084.6429776756,预测包含真实
527,5,109310.61779712066,部分重叠
527,21,614978.6779593247,部分重叠
527,20,42591.07063894094,部分重叠
528,652,768698.6917961083,部分重叠
529,627,2078649.7802872362,部分重叠
529,626,63104.698373356616,部分重叠
530,309,1008175.0127424253,部分重叠
531,34,872043.8013973873,部分重叠
532,644,2643584.768371009,部分重叠
533,243,899917.138774579,部分重叠
534,339,195073.1001107275,部分重叠
535,40,138749.40659493947,预测包含真实
535,61,388941.08438088174,预测包含真实
537,51,255104.0461169852,预测包含真实
538,309,246314.2490669898,部分重叠
540,10,197511.63386746653,预测包含真实
543,438,21148.481435353922,部分重叠
543,27,526431.0931536447,部分重叠
543,437,232804.43870931896,部分重叠
545,430,686257.3437299232,部分重叠
546,428,383040.54706217686,部分重叠
547,612,2335096.898751033,真实包含预测
548,461,128953.54775927565,部分重叠
548,462,8472.883349149066,部分重叠
549,474,652486.6681134453,部分重叠
550,658,536808.7025757072,部分重叠
551,883,721015.0304501542,部分重叠
552,602,48946.88719170281,部分重叠
552,753,939552.8940464042,部分重叠
553,349,763131.5724289804,部分重叠
554,759,898627.7196721283,部分重叠
556,587,1661075.305240363,真实包含预测
557,453,1223895.395650359,部分重叠
560,674,506442.42126021924,部分重叠
561,319,196615.79326880953,预测包含真实
562,12,352523.903275162,部分重叠
563,417,583196.3355647969,部分重叠
564,535,936182.526104905,部分重叠
564,533,24340.870264736943,部分重叠
567,782,672891.758044424,部分重叠
568,16,20965.591234067062,部分重叠
568,275,1007478.4588721317,部分重叠
570,611,66619.70513877,部分重叠
573,743,1502028.2262598907,部分重叠
574,686,1542743.3887315656,真实包含预测
575,716,1563011.2692226828,真实包含预测
576,491,846050.2221228299,部分重叠
579,666,1467622.3793965892,真实包含预测
583,899,37726.64742093352,部分重叠
583,545,704199.9769097993,部分重叠
585,606,788273.0609922457,部分重叠
586,339,403950.43066583906,部分重叠
587,783,58648.08030736831,部分重叠
587,792,266212.0201503611,部分重叠
588,608,1046422.1949103142,部分重叠
589,196,136942.40234394744,部分重叠
589,197,421177.1990001653,部分重叠
590,9,189345.25771579437,预测包含真实
591,470,939826.3630643401,部分重叠
592,816,797.2887124603945,部分重叠
594,140,711567.9070832824,部分重叠
595,269,683714.5868045669,部分重叠
595,267,73762.29938233268,部分重叠
596,208,354711.0108216539,部分重叠
596,201,139797.5703166629,部分重叠
597,393,782670.3024997837,部分重叠
598,203,5954.396533407576,部分重叠
603,58,787970.8874779805,部分重叠
606,601,926710.3205024196,真实包含预测
607,613,1257191.8027923435,部分重叠
608,757,844882.1690869392,部分重叠
608,713,360103.26819261827,部分重叠
609,619,911300.3281865729,真实包含预测
610,323,1044892.9359941233,部分重叠
611,644,923986.2774569612,真实包含预测
612,279,13090.065643332537,部分重叠
612,278,428686.7459702707,部分重叠
613,837,600690.5311942258,部分重叠
615,890,802520.9488489812,部分重叠
616,691,393002.33087708877,预测包含真实
616,456,6387.782238978486,部分重叠
617,548,109067.26400635045,部分重叠
617,547,308858.3045749732,预测包含真实
617,546,63323.004954346376,部分重叠
619,358,1199024.8393446384,部分重叠
622,302,443055.2122880907,预测包含真实
623,832,536917.3154485436,部分重叠
625,356,916336.9137259182,真实包含预测
626,833,701585.3117221404,部分重叠
627,35,967810.2064793231,部分重叠
628,29,1069937.0482176167,真实包含预测
630,112,104777.93832098793,预测包含真实
630,113,68249.06262533995,预测包含真实
630,111,232271.82076979984,部分重叠
634,32,516420.08607580076,部分重叠
635,454,9014.468866536721,部分重叠
638,720,1084236.8976159876,真实包含预测
639,512,121113.8640592734,部分重叠
639,509,306456.7267169099,预测包含真实
640,527,303655.04262053757,部分重叠
642,720,997782.2883381102,真实包含预测
643,54,1971661.5150570406,部分重叠
643,712,48456.87314312924,部分重叠
644,712,1487508.2955526684,部分重叠
645,13,196968.3876410412,部分重叠
645,351,632709.4317749857,预测包含真实
