port_id,lat,lon,berth_count,polygon
30,31.479459416666664,121.4022147722222,1,"POLYGON ((121.40170893333332 31.47897, 121.40170893333332 31.479948833333335, 121.4027206111111 31.479948833333335, 121.4027206111111 31.47897, 121.40170893333332 31.47897))"
31,38.95396608133181,118.48273088372095,1,"POLYGON ((118.47804800000003 38.94827506976744, 118.47804800000003 38.95965709289618, 118.48741376744188 38.95965709289618, 118.48741376744188 38.94827506976744, 118.47804800000003 38.94827506976744))"
32,31.742340981974518,121.03763747602888,2,"MULTIPOLYGON (((121.04189805769231 31.740456407407407, 121.04362788888888 31.740456407407407, 121.04362788888888 31.739690666666664, 121.04189805769231 31.739690666666664, 121.04189805769231 31.740456407407407)), ((121.03465080434779 31.74364288888889, 121.03846639705881 31.74364288888889, 121.03846639705881 31.741993632352937, 121.03465080434779 31.741993632352937, 121.03465080434779 31.74364288888889)))"
33,19.963932830910984,110.03675158157262,2,"POLYGON ((110.03460860465115 19.964070823529408, 110.03778353846154 19.964070823529408, 110.03778353846154 19.96443922222222, 110.0387732105263 19.96443922222222, 110.0387732105263 19.96388570833333, 110.03634652941177 19.96358997674418, 110.03460860465115 19.96358997674418, 110.03460860465115 19.964070823529408))"
34,23.094788812759575,113.43974387718069,3,"MULTIPOLYGON (((113.44276269411763 23.094481028037375, 113.4457958 23.094481028037375, 113.4457958 23.094223, 113.44276269411763 23.094223, 113.44276269411763 23.094481028037375)), ((113.43205736170212 23.095355916666662, 113.431991625 23.095355916666662, 113.431991625 23.095529374999998, 113.43205736170212 23.095529374999998, 113.43205736170212 23.095355916666662)), ((113.43453664948453 23.095250752577318, 113.43826303571427 23.095250752577318, 113.43826303571427 23.094972971223022, 113.43453664948453 23.094972971223022, 113.43453664948453 23.095250752577318)))"
35,21.078187943829374,110.43030491411412,1,"POLYGON ((110.43011804444443 21.078049297297298, 110.43011804444443 21.07832659036145, 110.43049178378376 21.07832659036145, 110.43049178378376 21.078049297297298, 110.43011804444443 21.078049297297298))"
36,23.44373875454347,116.50520358282894,2,"MULTIPOLYGON (((116.50181016666664 23.44260933333333, 116.50272344444444 23.44260933333333, 116.50272344444444 23.44242111111111, 116.50181016666664 23.44242111111111, 116.50181016666664 23.44260933333333)), ((116.5039802222222 23.443694249999997, 116.5039802222222 23.444103216216213, 116.50719491891894 23.444103216216213, 116.50719491891894 23.443694249999997, 116.5039802222222 23.443694249999997)))"
37,25.18713421655701,119.01389913468309,1,"POLYGON ((119.0133283943662 25.186847245614032, 119.0133283943662 25.187421187499996, 119.01446987499999 25.187421187499996, 119.01446987499999 25.186847245614032, 119.0133283943662 25.186847245614032))"
38,23.061088283333337,113.48173416666664,1,"POLYGON ((113.48014399999998 23.060458366666673, 113.48014399999998 23.0617182, 113.48332433333331 23.0617182, 113.48332433333331 23.060458366666673, 113.48014399999998 23.060458366666673))"
39,35.595100932352935,119.78969415544502,1,"POLYGON ((119.78513560869565 35.58571570588235, 119.78513560869565 35.60448615882352, 119.79425270219436 35.60448615882352, 119.79425270219436 35.58571570588235, 119.78513560869565 35.58571570588235))"
40,31.221304999999994,118.11700324999997,1,"POLYGON ((118.1146665 31.22, 118.1146665 31.222609999999992, 118.11934 31.222609999999992, 118.11934 31.22, 118.1146665 31.22))"
41,36.6718858325,121.23528708858696,1,"POLYGON ((121.2352396521739 36.671162625, 121.2352396521739 36.672609040000005, 121.23533452500003 36.672609040000005, 121.23533452500003 36.671162625, 121.2352396521739 36.671162625))"
42,21.572426246721232,108.3582812392313,2,"MULTIPOLYGON (((108.35751994736843 21.57456691304348, 108.35904584057972 21.57456691304348, 108.35904584057972 21.570296368421054, 108.35751994736843 21.570296368421054, 108.35751994736843 21.57456691304348)), ((108.35589941666666 21.56479401851852, 108.35595507407406 21.56479401851852, 108.35595507407406 21.564711716666668, 108.35589941666666 21.564711716666668, 108.35589941666666 21.56479401851852)))"
